id,country,short_name,catch_names,translations,health,attack,rarity,enabled,tradeable,emoji_id,wild_card,collection_card,credits,capacity_name,capacity_description,capacity_logic,created_at,economy_id,regime_id,catch_value,catch_reward,quicksell_value
2,Nikola Jokić,Jokić,nikola jokic,,500,500,0.0008,t,t,1442568146618683496,1000013621.jpg,1000013623.jpg,jaffar21,Elite Playmaking,"Jokić sees the entire floor like a point guard. His no-look passes, touch feeds, and perfect timing let him create scoring chances from anywhere.",{},2025-11-24 17:45:24.738633+00,4,5,10,0,500000
15,Devin Booker,Booker,,,445,445,0.0049,t,t,1442807016035717150,1000013756.jpg,1000013758.jpg,jaffar21,Clutch Flame,"Activates Clutch Flame, turning late-game possessions into high-percentage buckets while elevating teammates’ confidence.",{},2025-11-25 09:23:10.718855+00,16,17,10,0,20000
70,Emo Jimmy,Jimmy,jimmy butler,,330,330,0.9,f,t,1444438766843334829,1000014376.jpg,1000014374.jpg,jaffar21,No Smiles Zone,"Any player who celebrates near him gets hit with a -small morale debuff, because Jimmy is not in the mood.",{},2025-11-29 21:28:57.694374+00,24,25,10,0,1100000
12,Kevin Durant,Durant,,,460,460,0.0037,t,t,1442631177239527464,1000013717.jpg,1000013719.jpg,jaffar21,Infinite Scoring Engine,"His unmatched shot-making becomes Limitless Range Flow, letting him strike from any distance with precision that ignores defensive interference.",{},2025-11-24 21:51:00.026581+00,13,14,10,0,50000
25,James Harden,Harden,,,313,313,0.047,t,t,1442845849829900338,1000013831.jpg,1000013832.jpg,jaffar21,Isolation Maestro,"Can take over games in isolation, breaking down defenders with speed and craftiness.",{},2025-11-25 11:56:56.625544+00,14,15,10,0,3050
1,LeBron James,Lebron,,,455,455,0.004,t,t,1441033512143818824,1000013440.jpg,1000013128.jpg,jaffar,Leadership Aura,"LeBron elevates everyone around him. His presence boosts team confidence, improves coordination, and brings stability in high-pressure games.",{},2025-11-23 20:23:52.796992+00,3,4,10,0,40000
72,2024-25 SGA (MVP),SGA,,,600,600,0.00011,f,t,1458014890227925155,IMG_9973.jpeg,IMG_9859.jpeg,jaffar21,SMOOTHEST MVP,Leading a young Oklahoma City Thunder team to one of the best records in the league and ultimately a title.,{},2025-12-20 13:05:55.931836+00,5,6,10,0,6666666
14,Cade Cunningham,Cade,,,440,440,0.005,t,t,1442802377139814562,1000013745.jpg,1000013746.jpg,jaffar21,Two-Way Orchestrator,"Uses Floor General Vision to read the entire field, controlling tempo and creating perfect openings.",{},2025-11-25 09:05:14.392304+00,15,16,10,0,15000
22,Tyrese Maxey,Maxey,,,425,425,0.007,t,t,1442828252992372828,1000013814.jpg,1000013815.jpg,jaffar21,Lightning Breaker,"Activates Turbo First Step, blowing past defenders instantly with elite acceleration.",{},2025-11-25 10:47:32.092098+00,19,20,10,0,9000
19,Joel Embiid,Embiid,,,420,420,0.0073,t,t,1442818385422585966,1000013794.jpg,1000013795.jpg,jaffar21,Rim Punisher,"Activates Rim Punisher, finishing through multiple bodies with dunks, hooks, and soft touch.",{},2025-11-25 10:12:47.971788+00,19,20,10,0,8000
17,Jaylen Brown,Brown,,,415,415,0.0077,t,t,1442810419080073248,1000013776.jpg,1000013777.jpg,jaffar21,Wing Punisher,"Deploys Power Slashes, attacking the rim with elite athleticism and physical finishing.",{},2025-11-25 09:41:18.617164+00,17,18,10,0,7000
18,Paolo Banchero,Banchero,,,410,410,0.008,t,t,1442814741901873202,1000013785.jpg,1000013786.jpg,jaffar21,Royal Force,"Channels Power Drive, bulldozing to the rim with strength, footwork, and finesse.",{},2025-11-25 09:56:04.781628+00,18,19,10,0,6000
24,Trae Young,Young,,,405,405,0.0083,t,t,1442843398351487036,1000013828.jpg,1000013829.jpg,jaffar21,Ice in Veins,Remains calm under pressure and hits clutch shots in tight games.,{},2025-11-25 11:52:17.378434+00,22,23,10,0,5000
32,Jayson Tatum,Tatum,,,470,470,0.003,t,t,1442877700787277854,1000013881.jpg,1000013882.jpg,jaffar21,Smooth Finisher,"Scores effortlessly with floaters, layups, and acrobatic moves near the rim.",{},2025-11-25 14:04:12.232856+00,17,18,10,0,80000
